,gamma,phi,eta,L,t,biscuit,r
0,0.073896719371497,1.3330055466388109,0.0009987327666543,0.0111960696011351,19.362213715937266,Digestive,7.453712135492654e-07
1,0.0809461966098991,1.47675793946145,0.0010117571591316,0.0058943259660231,11.85258933147959,Digestive,7.797960613605848e-07
2,0.0874078993348664,1.4771414922137245,0.0009835886160519,0.0092486331281393,24.793669186847307,Digestive,8.189772254008458e-07
3,0.0707929707747368,1.502001460603669,0.0010015968629928,0.0037737484142437,16.292779732948908,Hobnob,7.567172656627005e-07
4,0.058917455291466,1.548274080494855,0.0010043325545818,0.0022907146279044,13.66227134082432,Hobnob,8.23906656220311e-07
5,0.0699885285021719,1.5627548911902265,0.0009885213148904,0.0019361439068965,16.28776657747529,Digestive,5.01835012639196e-07
6,0.0775769542237816,1.4813113550451231,0.0009908721649768,0.0056406640874433,26.434172907655192,Rich Tea,4.994777674214031e-07
7,0.0622755073740393,1.5205335968713052,0.0010052665124343,0.004030109621202,28.4234069608383,Hobnob,3.63943376341258e-07
8,0.075264246708315,1.4877064694430189,0.0010025702956993,0.0047255479444726,21.98408513521161,Rich Tea,3.198696672621654e-07
9,0.0762015766900211,1.5224565346173826,0.0009984497081216,0.0038110274330721,19.176369499291503,Hobnob,8.919035126826444e-07
10,0.0590199163299093,1.454741251155549,0.0009908804425925,0.0065946722324441,17.49860621411515,Digestive,5.028463629494296e-07
11,0.0776936628286025,1.0835078307383663,0.0009900907219098,0.0101415328558488,14.124568788855449,Rich Tea,4.297786970529531e-07
12,0.0831718696945486,1.5313237810955531,0.001001470844493,0.0029073905476256,16.240340262498755,Rich Tea,7.25047572715212e-07
13,0.0773176103472344,1.4677549985697134,0.00100447476451,0.0041991760842547,15.098132779033827,Rich Tea,3.1165323428789506e-07
14,0.0599963234733503,1.517010801209013,0.000992354927821,0.0030285788151932,20.247136185346974,Rich Tea,3.174776497387664e-07
15,0.0777095400493405,1.4966609324747495,0.0010050876993249,0.0052333301059849,26.55410539127565,Rich Tea,5.116596836301103e-07
16,0.0816213677446644,1.400424927297257,0.0009908726213791,0.0095908474464415,15.180425993880718,Digestive,2.6825868694351084e-07
17,0.0785704251905283,1.4375737390032504,0.0009893236506301,0.004543618561347,10.19465325397803,Hobnob,2.5591987029743814e-07
18,0.0782057795228666,1.4552652982047865,0.0010125649960144,0.0051069954160436,12.968139672839186,Hobnob,2.92858073519736e-07
19,0.0985418034514759,1.5228396303868768,0.0009881342058839,0.0036767766347043,23.38074153103834,Rich Tea,7.137297520142723e-07
20,0.085417717386387,1.3592248414209231,0.0010040711862542,0.0092576125604352,25.95716252412652,Rich Tea,2.743243456321245e-07
21,0.0544311934090936,1.5075944318598298,0.0010081502614487,0.0045867424994923,23.3579094161129,Hobnob,4.06444398366189e-07
22,0.0751746552221924,1.5412470023506242,0.0009929264749337,0.0022974892444299,17.33765089398534,Rich Tea,7.894796706064666e-07
23,0.0731303951384917,1.5541259835249417,0.0009952841476726,0.0022338652726104,27.63278365228808,Rich Tea,2.9734475448185e-07
24,0.0403278246631337,1.5675697927829708,0.0009947973699997,0.0009240830224987,23.601745807434327,Hobnob,3.00700117921395e-07
25,0.0820625357359932,1.3976269792726657,0.0009870862585982,0.008645970802585,18.648071436509937,Hobnob,5.518377305382778e-07
26,0.0789078877978482,1.3738128784061507,0.0010068673000885,0.0085037585038646,25.565921454527928,Rich Tea,4.293578195811919e-07
27,0.0825059725806151,1.41266637195642,0.0009923013264388,0.0062961185222731,12.025914212232356,Hobnob,3.4574271955295665e-07
28,0.0805358591339973,1.364801024124599,0.0009928431938204,0.0077208368229049,21.13068133709361,Rich Tea,5.437856179278294e-07
29,0.0871747257440108,1.394417988091598,0.0009960355288404,0.0078538048366946,13.635087071849432,Hobnob,8.604312092926709e-07
30,0.0643731426006496,1.4971725769943476,0.001009055777339,0.0045427618185423,26.14706554721206,Rich Tea,3.18001263529753e-07
31,0.083246726572733,1.4186227656442851,0.0009862079238829,0.004578171238295,10.831609135682625,Rich Tea,3.141562690439023e-07
32,0.0597512946701171,1.5474319297083494,0.0010010830455495,0.0034731223246992,20.12468225774325,Digestive,7.043304925484773e-07
33,0.0570200039101883,1.45496058463092,0.0010014172158698,0.0058684323965147,17.73047069345332,Hobnob,5.377593234349715e-07
34,0.0873880650376741,1.5092709058129854,0.0009909749394227,0.0056543015025385,28.161278628385368,Hobnob,7.484301620181436e-07
35,0.0598548391744834,1.4018961064312947,0.0009920815699763,0.0105951056322966,29.86504537417152,Digestive,5.650722007700625e-07
36,0.0759661370599458,1.277958482956611,0.0010136657967695,0.009032070585267,26.98104354945872,Rich Tea,3.556519445531561e-07
37,0.0812793190228469,1.3839473318119186,0.0009873582273427,0.0068613648001383,20.549801363165336,Rich Tea,3.07310536777081e-07
38,0.0816976264072497,1.482975116278985,0.0010049997659858,0.0084769048216308,23.64052677523931,Digestive,8.160594871011867e-07
39,0.0792811498672628,1.4776248057737964,0.0010007634367968,0.0065566313007942,21.58126336170284,Hobnob,5.692790492667183e-07
40,0.0688090498203382,1.5045168788028809,0.0009940806378463,0.005860374542672,20.34973422573145,Digestive,5.893066168769102e-07
41,0.071740427537199,1.4530839507940714,0.0010003229505548,0.0072707502275694,20.420334475842083,Hobnob,5.551959381866147e-07
42,0.0770423342946025,1.1650649472584318,0.0009953977463593,0.0086679490259501,12.551118259002369,Hobnob,3.2694086694970266e-07
43,0.083424795178713,1.5112347797043229,0.0010112263984056,0.0054859173687058,16.142422034854615,Digestive,4.177243288273158e-07
44,0.0868282383042642,1.5067070523604045,0.0009786865685906,0.0037386834322084,10.152730401890793,Hobnob,4.936484654062183e-07
45,0.0640158809561514,1.46122025403145,0.0010022907222824,0.0040038251941405,14.07996749163182,Rich Tea,3.849721216884865e-07
46,0.0720145898807293,1.4408580398289608,0.0009955443883997,0.0056257394310797,22.95808495590116,Rich Tea,2.919155340624713e-07
47,0.050763789319259,1.446430639234261,0.000980308336486,0.0069762785329425,20.742020301160053,Digestive,4.59687862703427e-07
48,0.0530349775001116,1.4705735824574857,0.0010126840575805,0.0071748195383083,22.894764956054733,Digestive,8.441052150247357e-07
49,0.0839805445728438,1.565260748285623,0.00099552894577,0.0016469319063368,14.250154014084448,Digestive,3.032878983289484e-07
50,0.0709427468196048,1.4147212920154095,0.0009928333896698,0.0070341287242877,11.121606477487248,Digestive,7.930241372930378e-07
51,0.0751898178315309,1.458585088292026,0.0010083187854237,0.0059926516741612,10.445989219582712,Digestive,8.429120011577265e-07
52,0.0812888299668991,1.5187275482804308,0.0010061799922184,0.0031401012851179,11.704799532363918,Hobnob,2.58342296531601e-07
53,0.0853348627633519,1.2999750597817896,0.0010101581122058,0.0121006248429597,23.96652559828092,Hobnob,7.821553748287343e-07
54,0.0672446906320724,1.482213869173994,0.0010007747729973,0.0031001745471608,10.439119372753217,Rich Tea,8.197638725886834e-07
55,0.0901627232309663,1.515621283078493,0.0009994598145162,0.0053860645548553,22.87180992482621,Hobnob,2.617512601823055e-07
56,0.0772169392515328,1.5451426426022112,0.0009986778533434,0.0038796938116653,16.80664901864438,Digestive,3.4106822573248385e-07
57,0.0807899095211424,1.181983411014233,0.0010121391505375,0.0149491550209724,20.28240887123287,Digestive,5.291053114414403e-07
58,0.0736195347401363,1.533950154530597,0.0010004861877111,0.0027353645881771,18.59720501964756,Rich Tea,2.99681623218618e-07
59,0.0915609984556264,1.2798475231841708,0.0009896951944464,0.014473221857592,21.507264275685245,Digestive,3.7782969828589337e-07
60,0.0752510700332446,1.1374767917992574,0.001009098604871,0.0112924517794303,29.25100152825187,Rich Tea,3.135830320934683e-07
61,0.0796356033633289,1.5285074092647974,0.0009990110368886,0.0049038284334955,26.60765567879277,Hobnob,2.75748595689819e-07
62,0.0659637372119456,1.378504792782595,0.001000761395849,0.0097345131553365,20.454317744897928,Digestive,3.784561392360472e-07
63,0.0855379179858923,1.430829993474522,0.0009808506382433,0.005681036646435,11.982105316739688,Hobnob,8.677049629000997e-07
64,0.0740054273794784,1.570268938974516,0.0010137201891358,0.0004972575080093,27.573526491910137,Hobnob,4.667185166647237e-07
65,0.0626769321963057,1.3196445200243705,0.0010018734231959,0.0080035087150641,17.73990897091775,Hobnob,4.521101059526911e-07
66,0.0632907178405381,1.4202603355144368,0.0009998359891933,0.0080753764063047,15.108788550353548,Digestive,7.516064135262307e-07
67,0.0627030921355636,1.535346820689045,0.0010109481559996,0.002955216068607,16.15600016000638,Hobnob,5.302297136175947e-07
68,0.0613009906931845,1.516722218631953,0.0010227211286107,0.0037954169504243,11.17534254552163,Digestive,5.638908628878376e-07
69,0.0804484665758067,1.440849741366805,0.0010051802868419,0.0059706829573163,11.00954190331092,Hobnob,3.724386032993559e-07
70,0.0622582362917069,1.3774870365153078,0.0009955666521898,0.0067622013657177,10.03154813517243,Digestive,7.69313686272661e-07
71,0.0745645132820849,1.3350790768464582,0.0010003699790869,0.0059156446243384,10.80049879818776,Rich Tea,3.731184514524907e-07
72,0.0697797419028019,1.478763834435628,0.0009933813464151,0.003572864967805,12.545374635154204,Rich Tea,3.189716454501183e-07
73,0.0797120265415413,1.4486507426238977,0.001002904885147,0.0075781201659579,28.12822555212246,Hobnob,7.02990903869557e-07
74,0.0607549000122381,1.4419027544753025,0.0010069306636966,0.0040094451791735,13.989892113166242,Rich Tea,4.835713847035963e-07
75,0.0811730026662036,1.4159502004901814,0.0010049977281605,0.0094589675710514,16.398652838304944,Digestive,8.369913376626072e-07
76,0.0685994703816584,1.5402526059433992,0.0010002373244349,0.0038619178788366,29.85606634682497,Hobnob,5.44198195186496e-07
77,0.0773537327057912,1.5166278928505748,0.0010039762240362,0.0031353095228756,17.411925351319482,Rich Tea,2.782870861254072e-07
78,0.0832646081574259,1.5000135239904384,0.0010151936382114,0.0061876987659746,16.631354591954725,Digestive,8.343526051606491e-07
79,0.0697342399499918,1.5395687547053996,0.0009845391913534,0.002677521342395,11.778183827024598,Hobnob,5.371244754873495e-07
80,0.0793556339875146,1.5053473083825626,0.0010051859532084,0.0055930838068224,14.429046325008487,Digestive,8.550193423305071e-07
81,0.076820693144758,1.5480426483515688,0.0010063504409911,0.00254876200002,12.34733787163078,Hobnob,2.3169157082884875e-07
82,0.0556820093570228,1.5604687269765185,0.001003566652903,0.0015561950035118,17.936198966071306,Hobnob,7.699813642699431e-07
83,0.0767307735030029,1.5142803178791688,0.0010136263586557,0.0053569579883026,22.88312265916569,Hobnob,3.241971381428079e-07
84,0.0501884391287974,1.531614556941877,0.0010075729601216,0.0046621278844102,28.3718161433555,Digestive,8.02542384457958e-07
